epoch: 0	train ppl: 3509329155.9769287	val ppl: 444609340023855.3	best val: 444609340023855.3	time (s) spent in epoch: 179.3172492980957
epoch: 1	train ppl: 777802.9426690292	val ppl: 1150061.2758859855	best val: 1150061.2758859855	time (s) spent in epoch: 174.37199354171753
epoch: 2	train ppl: 11264.462410595042	val ppl: 8107.585598614316	best val: 8107.585598614316	time (s) spent in epoch: 174.91386461257935
epoch: 3	train ppl: 1676.5006505534507	val ppl: 914.2063803048046	best val: 914.2063803048046	time (s) spent in epoch: 176.4490671157837
epoch: 4	train ppl: 723.1323571742503	val ppl: 671.9425287220203	best val: 671.9425287220203	time (s) spent in epoch: 174.68242049217224
epoch: 5	train ppl: 535.9176148319187	val ppl: 435.7913384595039	best val: 435.7913384595039	time (s) spent in epoch: 174.5933859348297
epoch: 6	train ppl: 378.0026801213514	val ppl: 395.1058574433119	best val: 395.1058574433119	time (s) spent in epoch: 172.55870056152344
epoch: 7	train ppl: 298.0406049716671	val ppl: 289.85759612544973	best val: 289.85759612544973	time (s) spent in epoch: 174.40169191360474
epoch: 8	train ppl: 247.37749994030307	val ppl: 235.85826602658383	best val: 235.85826602658383	time (s) spent in epoch: 174.94011449813843
epoch: 9	train ppl: 202.1033719356281	val ppl: 241.91448114752365	best val: 235.85826602658383	time (s) spent in epoch: 165.94644618034363
epoch: 10	train ppl: 170.82758115542768	val ppl: 201.11933808912943	best val: 201.11933808912943	time (s) spent in epoch: 173.40112257003784
epoch: 11	train ppl: 142.30505608587774	val ppl: 176.98181679212198	best val: 176.98181679212198	time (s) spent in epoch: 174.66365814208984
epoch: 12	train ppl: 123.79280491891878	val ppl: 180.09643765540787	best val: 176.98181679212198	time (s) spent in epoch: 164.91089487075806
epoch: 13	train ppl: 105.96881067666169	val ppl: 169.62805572788406	best val: 169.62805572788406	time (s) spent in epoch: 172.6861069202423
epoch: 14	train ppl: 93.41084216988664	val ppl: 171.68668018999628	best val: 169.62805572788406	time (s) spent in epoch: 164.63656044006348
epoch: 15	train ppl: 74.89455233181368	val ppl: 163.6949068075869	best val: 163.6949068075869	time (s) spent in epoch: 174.13504910469055
epoch: 16	train ppl: 58.07401894267444	val ppl: 169.33780599995362	best val: 163.6949068075869	time (s) spent in epoch: 164.93548607826233
epoch: 17	train ppl: 44.369952715960686	val ppl: 180.9536580488955	best val: 163.6949068075869	time (s) spent in epoch: 165.5715889930725
epoch: 18	train ppl: 34.84812516551539	val ppl: 193.5887230125696	best val: 163.6949068075869	time (s) spent in epoch: 164.29282021522522
epoch: 19	train ppl: 29.121148424408943	val ppl: 201.90268200113942	best val: 163.6949068075869	time (s) spent in epoch: 164.33054661750793
epoch: 20	train ppl: 26.233450116583985	val ppl: 204.0440294846061	best val: 163.6949068075869	time (s) spent in epoch: 163.4568212032318
epoch: 21	train ppl: 24.873689642673565	val ppl: 204.10183136060778	best val: 163.6949068075869	time (s) spent in epoch: 163.45213627815247
epoch: 22	train ppl: 24.366747336378953	val ppl: 203.67884077076204	best val: 163.6949068075869	time (s) spent in epoch: 165.61662125587463
epoch: 23	train ppl: 24.171152613048772	val ppl: 203.54597922928912	best val: 163.6949068075869	time (s) spent in epoch: 165.65456533432007
epoch: 24	train ppl: 24.082981688746695	val ppl: 203.5356063892533	best val: 163.6949068075869	time (s) spent in epoch: 165.918199300766
epoch: 25	train ppl: 24.077892912197765	val ppl: 203.53535769022113	best val: 163.6949068075869	time (s) spent in epoch: 164.86317539215088
epoch: 26	train ppl: 24.070181254056028	val ppl: 203.5352970319667	best val: 163.6949068075869	time (s) spent in epoch: 165.23686122894287
epoch: 27	train ppl: 24.07445921424871	val ppl: 203.53507259658247	best val: 163.6949068075869	time (s) spent in epoch: 165.07388734817505
epoch: 28	train ppl: 24.05878806808908	val ppl: 203.5350422674955	best val: 163.6949068075869	time (s) spent in epoch: 165.38414645195007
epoch: 29	train ppl: 24.086169725074555	val ppl: 203.53501800422916	best val: 163.6949068075869	time (s) spent in epoch: 164.46540689468384
epoch: 30	train ppl: 24.05136492029842	val ppl: 203.5350422674955	best val: 163.6949068075869	time (s) spent in epoch: 163.22010445594788
epoch: 31	train ppl: 24.059714058130893	val ppl: 203.5350422674955	best val: 163.6949068075869	time (s) spent in epoch: 164.591810464859
epoch: 32	train ppl: 24.0594325662458	val ppl: 203.5350422674955	best val: 163.6949068075869	time (s) spent in epoch: 164.48582935333252
epoch: 33	train ppl: 24.08131337037269	val ppl: 203.5350422674955	best val: 163.6949068075869	time (s) spent in epoch: 164.54953241348267
epoch: 34	train ppl: 24.058369450042008	val ppl: 203.5350422674955	best val: 163.6949068075869	time (s) spent in epoch: 164.49087572097778
epoch: 35	train ppl: 24.071249134105674	val ppl: 203.5350422674955	best val: 163.6949068075869	time (s) spent in epoch: 164.20249915122986
epoch: 36	train ppl: 24.080919239510767	val ppl: 203.5350422674955	best val: 163.6949068075869	time (s) spent in epoch: 164.5261914730072
epoch: 37	train ppl: 24.070768668165744	val ppl: 203.5350422674955	best val: 163.6949068075869	time (s) spent in epoch: 164.70375895500183
epoch: 38	train ppl: 24.054818902035286	val ppl: 203.5350422674955	best val: 163.6949068075869	time (s) spent in epoch: 164.78903794288635
epoch: 39	train ppl: 24.086937025045916	val ppl: 203.5350422674955	best val: 163.6949068075869	time (s) spent in epoch: 165.33046007156372
