epoch: 0	train ppl: 90042.65670942914	val ppl: 4705.109235945656	best val: 4705.109235945656	time (s) spent in epoch: 73.80986309051514
epoch: 1	train ppl: 2784.0519952174195	val ppl: 1262.1106142619392	best val: 1262.1106142619392	time (s) spent in epoch: 70.67476105690002
epoch: 2	train ppl: 1135.3713774332036	val ppl: 894.1656479318113	best val: 894.1656479318113	time (s) spent in epoch: 70.39497303962708
epoch: 3	train ppl: 642.4968700854041	val ppl: 634.756466413017	best val: 634.756466413017	time (s) spent in epoch: 70.01421475410461
epoch: 4	train ppl: 468.1265639876856	val ppl: 417.7204963371015	best val: 417.7204963371015	time (s) spent in epoch: 70.30283784866333
epoch: 5	train ppl: 412.9799679855783	val ppl: 388.5762878073047	best val: 388.5762878073047	time (s) spent in epoch: 70.95120310783386
epoch: 6	train ppl: 369.80708419921086	val ppl: 431.6962179711231	best val: 388.5762878073047	time (s) spent in epoch: 68.9893262386322
epoch: 7	train ppl: 322.3625800065527	val ppl: 320.2983185212819	best val: 320.2983185212819	time (s) spent in epoch: 70.95027446746826
epoch: 8	train ppl: 279.4578860612726	val ppl: 319.0628962733082	best val: 319.0628962733082	time (s) spent in epoch: 70.20668458938599
epoch: 9	train ppl: 258.8303170105833	val ppl: 269.69098588276836	best val: 269.69098588276836	time (s) spent in epoch: 70.5154492855072
epoch: 10	train ppl: 228.9953029393815	val ppl: 243.83876254445028	best val: 243.83876254445028	time (s) spent in epoch: 70.21763586997986
epoch: 11	train ppl: 204.87268670231623	val ppl: 286.32608374042053	best val: 243.83876254445028	time (s) spent in epoch: 69.49164724349976
epoch: 12	train ppl: 184.6240763574504	val ppl: 231.49559739819279	best val: 231.49559739819279	time (s) spent in epoch: 71.1326961517334
epoch: 13	train ppl: 166.9503615037678	val ppl: 197.93332278427366	best val: 197.93332278427366	time (s) spent in epoch: 70.03617978096008
epoch: 14	train ppl: 150.66868438977545	val ppl: 191.59732787838968	best val: 191.59732787838968	time (s) spent in epoch: 70.15543627738953
epoch: 15	train ppl: 118.87464345023616	val ppl: 183.6351730725332	best val: 183.6351730725332	time (s) spent in epoch: 70.80754923820496
epoch: 16	train ppl: 94.30087524996607	val ppl: 153.26892802689784	best val: 153.26892802689784	time (s) spent in epoch: 70.35084986686707
epoch: 17	train ppl: 76.7465387884458	val ppl: 145.38027438882386	best val: 145.38027438882386	time (s) spent in epoch: 70.65227174758911
epoch: 18	train ppl: 65.55539630069647	val ppl: 146.80304278246933	best val: 145.38027438882386	time (s) spent in epoch: 69.10085868835449
epoch: 19	train ppl: 58.91582766925534	val ppl: 147.56478281313542	best val: 145.38027438882386	time (s) spent in epoch: 68.17779469490051
epoch: 20	train ppl: 55.42556059188667	val ppl: 147.70696971138227	best val: 145.38027438882386	time (s) spent in epoch: 69.23600053787231
epoch: 21	train ppl: 53.800746817058695	val ppl: 146.86646876795808	best val: 145.38027438882386	time (s) spent in epoch: 68.763751745224
epoch: 22	train ppl: 53.179237079556664	val ppl: 145.99677800461907	best val: 145.38027438882386	time (s) spent in epoch: 68.72203707695007
epoch: 23	train ppl: 52.84685651418189	val ppl: 145.72542098541024	best val: 145.38027438882386	time (s) spent in epoch: 67.95456218719482
epoch: 24	train ppl: 52.836017707655614	val ppl: 145.65879790300025	best val: 145.38027438882386	time (s) spent in epoch: 68.49644684791565
epoch: 25	train ppl: 52.805483220126185	val ppl: 145.6476680799948	best val: 145.38027438882386	time (s) spent in epoch: 68.87125253677368
epoch: 26	train ppl: 52.77957464377689	val ppl: 145.6451809152222	best val: 145.38027438882386	time (s) spent in epoch: 67.84487104415894
epoch: 27	train ppl: 52.78598447815971	val ppl: 145.64483801101963	best val: 145.38027438882386	time (s) spent in epoch: 68.12187910079956
epoch: 28	train ppl: 52.80589698245115	val ppl: 145.64481630824915	best val: 145.38027438882386	time (s) spent in epoch: 68.20014929771423
epoch: 29	train ppl: 52.84226136387504	val ppl: 145.6448076271419	best val: 145.38027438882386	time (s) spent in epoch: 68.2918472290039
epoch: 30	train ppl: 52.757511275729904	val ppl: 145.6448076271419	best val: 145.38027438882386	time (s) spent in epoch: 68.37511396408081
epoch: 31	train ppl: 52.750019838297476	val ppl: 145.64479460548193	best val: 145.38027438882386	time (s) spent in epoch: 68.84074687957764
epoch: 32	train ppl: 52.79480978369775	val ppl: 145.64479460548193	best val: 145.38027438882386	time (s) spent in epoch: 67.21574234962463
epoch: 33	train ppl: 52.74605957788923	val ppl: 145.64479460548193	best val: 145.38027438882386	time (s) spent in epoch: 67.9424455165863
epoch: 34	train ppl: 52.80588074329834	val ppl: 145.64479460548193	best val: 145.38027438882386	time (s) spent in epoch: 67.9902937412262
epoch: 35	train ppl: 52.80728870248275	val ppl: 145.64479460548193	best val: 145.38027438882386	time (s) spent in epoch: 67.22336411476135
epoch: 36	train ppl: 52.79913414187322	val ppl: 145.64479460548193	best val: 145.38027438882386	time (s) spent in epoch: 68.12977194786072
epoch: 37	train ppl: 52.76879959621239	val ppl: 145.64479460548193	best val: 145.38027438882386	time (s) spent in epoch: 68.04152989387512
epoch: 38	train ppl: 52.78839893845333	val ppl: 145.64479460548193	best val: 145.38027438882386	time (s) spent in epoch: 68.34159278869629
epoch: 39	train ppl: 52.797711622940355	val ppl: 145.64479460548193	best val: 145.38027438882386	time (s) spent in epoch: 68.14437532424927
