epoch: 0	train ppl: 12977138.866992828	val ppl: 60366.62380284857	best val: 60366.62380284857	time (s) spent in epoch: 122.67528343200684
epoch: 1	train ppl: 22365.02654576179	val ppl: 1930.7992117394401	best val: 1930.7992117394401	time (s) spent in epoch: 119.90198063850403
epoch: 2	train ppl: 3011.929105344755	val ppl: 1164.7948901991758	best val: 1164.7948901991758	time (s) spent in epoch: 119.697678565979
epoch: 3	train ppl: 1073.7087115157794	val ppl: 943.7560690582719	best val: 943.7560690582719	time (s) spent in epoch: 119.51482939720154
epoch: 4	train ppl: 530.358091299174	val ppl: 349.31240232183416	best val: 349.31240232183416	time (s) spent in epoch: 119.36135339736938
epoch: 5	train ppl: 377.865750396183	val ppl: 411.5829791270521	best val: 349.31240232183416	time (s) spent in epoch: 116.27524280548096
epoch: 6	train ppl: 359.67035199363704	val ppl: 364.27555298453814	best val: 349.31240232183416	time (s) spent in epoch: 116.6301658153534
epoch: 7	train ppl: 324.6827103333658	val ppl: 263.1236065155553	best val: 263.1236065155553	time (s) spent in epoch: 118.84889602661133
epoch: 8	train ppl: 283.11151239541067	val ppl: 260.00984353562507	best val: 260.00984353562507	time (s) spent in epoch: 119.94855403900146
epoch: 9	train ppl: 248.7344855540706	val ppl: 260.4276429357608	best val: 260.00984353562507	time (s) spent in epoch: 115.89810633659363
epoch: 10	train ppl: 212.7337670614173	val ppl: 253.24527148758253	best val: 253.24527148758253	time (s) spent in epoch: 120.29966354370117
epoch: 11	train ppl: 185.1299569548318	val ppl: 208.7890078376322	best val: 208.7890078376322	time (s) spent in epoch: 120.13558769226074
epoch: 12	train ppl: 156.18801934909482	val ppl: 236.73477057979122	best val: 208.7890078376322	time (s) spent in epoch: 115.36344957351685
epoch: 13	train ppl: 135.02493079417457	val ppl: 171.4781392445943	best val: 171.4781392445943	time (s) spent in epoch: 121.2820405960083
epoch: 14	train ppl: 124.07968787402483	val ppl: 176.4926067524086	best val: 171.4781392445943	time (s) spent in epoch: 116.23716831207275
epoch: 15	train ppl: 96.71807077149505	val ppl: 157.5569304572875	best val: 157.5569304572875	time (s) spent in epoch: 119.87334752082825
epoch: 16	train ppl: 78.25589741226098	val ppl: 155.69309956048815	best val: 155.69309956048815	time (s) spent in epoch: 119.05238485336304
epoch: 17	train ppl: 64.58842332995607	val ppl: 149.77589800717095	best val: 149.77589800717095	time (s) spent in epoch: 120.95936369895935
epoch: 18	train ppl: 55.565201223594336	val ppl: 152.86577792837147	best val: 149.77589800717095	time (s) spent in epoch: 115.28926134109497
epoch: 19	train ppl: 50.13278689456259	val ppl: 154.85929291576375	best val: 149.77589800717095	time (s) spent in epoch: 114.9561288356781
epoch: 20	train ppl: 47.17875076488165	val ppl: 154.90443582334777	best val: 149.77589800717095	time (s) spent in epoch: 115.78942632675171
epoch: 21	train ppl: 45.80030144825138	val ppl: 154.06014603159352	best val: 149.77589800717095	time (s) spent in epoch: 116.01088452339172
epoch: 22	train ppl: 45.25714735923452	val ppl: 153.3496206469236	best val: 149.77589800717095	time (s) spent in epoch: 115.43474245071411
epoch: 23	train ppl: 45.00638351666648	val ppl: 153.18961096015667	best val: 149.77589800717095	time (s) spent in epoch: 115.31505250930786
epoch: 24	train ppl: 44.993962534807096	val ppl: 153.14313761068567	best val: 149.77589800717095	time (s) spent in epoch: 115.7579448223114
epoch: 25	train ppl: 44.94801636892375	val ppl: 153.13459400140286	best val: 149.77589800717095	time (s) spent in epoch: 115.42104864120483
epoch: 26	train ppl: 44.934614634811524	val ppl: 153.1327228685535	best val: 149.77589800717095	time (s) spent in epoch: 116.17342567443848
epoch: 27	train ppl: 44.96949683600029	val ppl: 153.1325950847051	best val: 149.77589800717095	time (s) spent in epoch: 115.96596264839172
epoch: 28	train ppl: 44.9765516083789	val ppl: 153.13256770246574	best val: 149.77589800717095	time (s) spent in epoch: 117.12317824363708
epoch: 29	train ppl: 44.95085786902575	val ppl: 153.13257682987833	best val: 149.77589800717095	time (s) spent in epoch: 116.70486330986023
epoch: 30	train ppl: 44.977772572650856	val ppl: 153.13257226617196	best val: 149.77589800717095	time (s) spent in epoch: 116.91225624084473
epoch: 31	train ppl: 44.96890052420025	val ppl: 153.13258595729144	best val: 149.77589800717095	time (s) spent in epoch: 116.62318015098572
epoch: 32	train ppl: 44.968231087776545	val ppl: 153.1325905209982	best val: 149.77589800717095	time (s) spent in epoch: 116.09383058547974
epoch: 33	train ppl: 44.944679485879426	val ppl: 153.1325905209982	best val: 149.77589800717095	time (s) spent in epoch: 116.86052989959717
epoch: 34	train ppl: 44.93669667579566	val ppl: 153.1325905209982	best val: 149.77589800717095	time (s) spent in epoch: 117.0722279548645
epoch: 35	train ppl: 44.9371664267284	val ppl: 153.1325905209982	best val: 149.77589800717095	time (s) spent in epoch: 114.29996705055237
epoch: 36	train ppl: 44.9735297749801	val ppl: 153.1325905209982	best val: 149.77589800717095	time (s) spent in epoch: 115.93360185623169
epoch: 37	train ppl: 44.96013384587977	val ppl: 153.1325905209982	best val: 149.77589800717095	time (s) spent in epoch: 114.99463248252869
epoch: 38	train ppl: 44.954603270075076	val ppl: 153.1325905209982	best val: 149.77589800717095	time (s) spent in epoch: 115.51514983177185
epoch: 39	train ppl: 44.954935529694644	val ppl: 153.1325905209982	best val: 149.77589800717095	time (s) spent in epoch: 116.16168975830078
