epoch: 0	train ppl: 35787010.02580536	val ppl: 5346.869898615581	best val: 5346.869898615581	time (s) spent in epoch: 92.97641229629517
epoch: 1	train ppl: 24549.576508996663	val ppl: 2872.3324744369356	best val: 2872.3324744369356	time (s) spent in epoch: 94.07697081565857
epoch: 2	train ppl: 5020.187517445683	val ppl: 2788.748917771998	best val: 2788.748917771998	time (s) spent in epoch: 95.7681496143341
epoch: 3	train ppl: 1208.5145072911776	val ppl: 869.6541056857237	best val: 869.6541056857237	time (s) spent in epoch: 95.65623927116394
epoch: 4	train ppl: 703.7943269913574	val ppl: 746.0733186980567	best val: 746.0733186980567	time (s) spent in epoch: 95.3422167301178
epoch: 5	train ppl: 517.8346744096964	val ppl: 471.9538818150321	best val: 471.9538818150321	time (s) spent in epoch: 95.38602352142334
epoch: 6	train ppl: 407.3762482808907	val ppl: 359.0624875956118	best val: 359.0624875956118	time (s) spent in epoch: 95.46208763122559
epoch: 7	train ppl: 341.09444745006584	val ppl: 306.89961806881064	best val: 306.89961806881064	time (s) spent in epoch: 95.8699471950531
epoch: 8	train ppl: 287.2699514912657	val ppl: 301.55258435147135	best val: 301.55258435147135	time (s) spent in epoch: 95.4106125831604
epoch: 9	train ppl: 246.60048943028568	val ppl: 252.36952156705206	best val: 252.36952156705206	time (s) spent in epoch: 94.48719096183777
epoch: 10	train ppl: 201.57122506259174	val ppl: 218.24705845941742	best val: 218.24705845941742	time (s) spent in epoch: 94.5861291885376
epoch: 11	train ppl: 175.66991662632546	val ppl: 218.92937999272735	best val: 218.24705845941742	time (s) spent in epoch: 91.69174361228943
epoch: 12	train ppl: 151.51420900709567	val ppl: 182.3970559578113	best val: 182.3970559578113	time (s) spent in epoch: 95.23455095291138
epoch: 13	train ppl: 133.87229842392912	val ppl: 175.77201468203748	best val: 175.77201468203748	time (s) spent in epoch: 95.01724886894226
epoch: 14	train ppl: 122.30791752996643	val ppl: 176.47618088170714	best val: 175.77201468203748	time (s) spent in epoch: 91.83504509925842
epoch: 15	train ppl: 99.00353048124373	val ppl: 166.79585260122008	best val: 166.79585260122008	time (s) spent in epoch: 96.380704164505
epoch: 16	train ppl: 81.45973516388692	val ppl: 151.49492538099216	best val: 151.49492538099216	time (s) spent in epoch: 94.73317790031433
epoch: 17	train ppl: 68.06254130018145	val ppl: 152.40513936493875	best val: 151.49492538099216	time (s) spent in epoch: 92.47324848175049
epoch: 18	train ppl: 59.15735010985504	val ppl: 153.43993560588703	best val: 151.49492538099216	time (s) spent in epoch: 93.85266709327698
epoch: 19	train ppl: 53.536612079330816	val ppl: 154.9142739226821	best val: 151.49492538099216	time (s) spent in epoch: 92.70402717590332
epoch: 20	train ppl: 50.642909421251545	val ppl: 154.66059911702567	best val: 151.49492538099216	time (s) spent in epoch: 92.52507901191711
epoch: 21	train ppl: 49.23264926129476	val ppl: 153.91343047258772	best val: 151.49492538099216	time (s) spent in epoch: 91.53798246383667
epoch: 22	train ppl: 48.654626831773605	val ppl: 153.17038267622235	best val: 151.49492538099216	time (s) spent in epoch: 92.0147352218628
epoch: 23	train ppl: 48.45033979453863	val ppl: 152.97824164897534	best val: 151.49492538099216	time (s) spent in epoch: 92.18342065811157
epoch: 24	train ppl: 48.38757362875774	val ppl: 152.92380192447297	best val: 151.49492538099216	time (s) spent in epoch: 91.0028007030487
epoch: 25	train ppl: 48.370990667253416	val ppl: 152.9146872272234	best val: 151.49492538099216	time (s) spent in epoch: 92.89055633544922
epoch: 26	train ppl: 48.42345199660642	val ppl: 152.91278688129142	best val: 151.49492538099216	time (s) spent in epoch: 92.63325524330139
epoch: 27	train ppl: 48.388623572798586	val ppl: 152.91270485250232	best val: 151.49492538099216	time (s) spent in epoch: 92.32577061653137
epoch: 28	train ppl: 48.367293932123715	val ppl: 152.91270029534866	best val: 151.49492538099216	time (s) spent in epoch: 92.4982340335846
epoch: 29	train ppl: 48.36041235956156	val ppl: 152.91269573819514	best val: 151.49492538099216	time (s) spent in epoch: 92.30145573616028
epoch: 30	train ppl: 48.33763963779147	val ppl: 152.9126866238885	best val: 151.49492538099216	time (s) spent in epoch: 92.3833658695221
epoch: 31	train ppl: 48.38095809532544	val ppl: 152.91269118104177	best val: 151.49492538099216	time (s) spent in epoch: 92.77537417411804
epoch: 32	train ppl: 48.33767866552966	val ppl: 152.91269118104177	best val: 151.49492538099216	time (s) spent in epoch: 92.38631629943848
epoch: 33	train ppl: 48.38253990968026	val ppl: 152.91269118104177	best val: 151.49492538099216	time (s) spent in epoch: 92.73144626617432
epoch: 34	train ppl: 48.37320457615709	val ppl: 152.91269118104177	best val: 151.49492538099216	time (s) spent in epoch: 93.00719714164734
epoch: 35	train ppl: 48.405028318752095	val ppl: 152.91269118104177	best val: 151.49492538099216	time (s) spent in epoch: 93.08450055122375
epoch: 36	train ppl: 48.382983546954705	val ppl: 152.91269118104177	best val: 151.49492538099216	time (s) spent in epoch: 93.0084798336029
epoch: 37	train ppl: 48.399046613356674	val ppl: 152.91269118104177	best val: 151.49492538099216	time (s) spent in epoch: 92.9200508594513
epoch: 38	train ppl: 48.40487148871069	val ppl: 152.91269118104177	best val: 151.49492538099216	time (s) spent in epoch: 92.95381426811218
epoch: 39	train ppl: 48.40458431208851	val ppl: 152.91269118104177	best val: 151.49492538099216	time (s) spent in epoch: 92.48102617263794
